ID,Description,IDS,Source
g-6e416e0e2b6b,一／力,⿱一力,aozora
g-3d17a6ee2826,三／二,⿱三二,aozora
g-4fa682ae09ca,丞／己,⿱丞己,aozora
g-928b460b9e7a,二／二,⿱二二,aozora
g-0a96814e4ccd,亜／土,⿱亜土,aozora
g-23d4c86efc0b,兀＋危,⿰兀危,aozora
g-a06a8c3cf441,入／王,⿱入王,aozora
g-785e2c0506f2,兪／心,⿱兪心,aozora
g-e58679eff75b,冫＋咸,⿰冫咸,aozora
g-f2f536fd006c,冫＋影,⿰冫影,aozora
g-e7218681eb49,冫＋虫,⿰冫虫,aozora
g-742c2dd8542c,刀／貝,⿱刀貝,aozora
g-9b1e31ff94cc,匈／月,⿱匈月,aozora
g-d9a2f2123698,卓＋戈,⿰卓戈,aozora
g-6a1352bcbc7a,厂＋至,⿰厂至,aozora
g-36c74e529caa,厂＋黒,⿰厂黒,aozora
g-41e2aa83dd84,厂＋龍,⿰厂龍,aozora
g-ac31a4aca8f6,口＋下,⿰口下,aozora
g-b5425ac337ff,口＋世,⿰口世,aozora
g-cf8c0ea558a8,口＋咨,⿰口咨,aozora
g-a52753eeb8da,口＋地,⿰口地,aozora
g-429f70eebb3c,口＋堂,⿰口堂,aozora
g-a693cce9fbef,口＋姜,⿰口姜,aozora
g-a6c8a87a5d8a,口＋尨,⿰口尨,aozora
g-59e0283a3e55,口＋彗,⿰口彗,aozora
g-c26fe23ac60b,口＋息,⿰口息,aozora
g-7ca6a468194e,口＋敗,⿰口敗,aozora
g-68e57d19a91c,口＋斗,⿰口斗,aozora
g-5ee65e33d758,口＋桑,⿰口桑,aozora
g-6aad61835fc2,口＋欷,⿰口欷,aozora
g-8f4f6cd67959,口＋盧,⿰口盧,aozora
g-06ac3fe1569c,口＋若,⿰口若,aozora
g-0e8674b48b0e,口＋需,⿰口需,aozora
g-bdd3fb22c38d,口／十,⿱口十,aozora
g-28caf7ce0569,口／恩,⿱口恩,aozora
g-937b20dfa69a,口／温,⿱口温,aozora
g-d93de7c7a776,口／軋,⿱口軋,aozora
g-b4ef8b4c72ac,君＋頁,⿰君頁,aozora
g-0e448b165c39,土＋已,⿰土已,aozora
g-cc0823e425fd,土＋母,⿰土母,aozora
g-f92477d80a40,士／毋,⿱士毋,aozora
g-6fd57324309f,女＋保,⿰女保,aozora
g-fc3548f6210f,女＋半,⿰女半,aozora
g-0051b07c9dcd,女＋展,⿰女展,aozora
g-31cb075d23fa,女＋島,⿰女島,aozora
g-8159ff34b3be,女＋感,⿰女感,aozora
g-ba8da1df7201,女＋早,⿰女早,aozora
g-cf7d6bbb93b1,女＋苗,⿰女苗,aozora
g-4e1ee0e27d1f,女＋蚩,⿰女蚩,aozora
g-7f6c26cdb6ce,女＋釆,⿰女釆,aozora
g-a81ec61aadd0,姦＋干,⿰姦干,aozora
g-d08692e73687,子＋盡,⿰子盡,aozora
g-80365475492d,孛＋鳥,⿰孛鳥,aozora
g-dec358be7f20,宀／婁,⿱宀婁,aozora
g-dd82fcc15f9b,宀／成,⿱宀成,aozora
g-cf9da744924a,安／革,⿱安革,aozora
g-1d5ce2675181,寸＋多,⿰寸多,aozora
g-f5032e786497,就／言,⿱就言,aozora
g-d22711ddf96c,尸＋矢,⿰尸矢,aozora
g-1cbcb8a0dc11,尸＋阿,⿰尸阿,aozora
g-1e69002eeb72,山＋労,⿰山労,aozora
g-a311081a1b38,山＋咢,⿰山咢,aozora
g-d38edfae8b5c,山＋圭,⿰山圭,aozora
g-83faf840b8df,山＋角,⿰山角,aozora
g-bb3a6f4545b3,山／卒,⿱山卒,aozora
g-99048e226035,山／眉,⿱山眉,aozora
g-77ea61bd395b,山／辟,⿱山辟,aozora
g-d4b99f5dacff,山／頽,⿱山頽,aozora
g-4850b37c956f,巾＋兌,⿰巾兌,aozora
g-3f81e71309a2,巾＋正,⿰巾正,aozora
g-7a3e89d0686f,巾＋莫,⿰巾莫,aozora
g-74850ac4b9d8,广＋寺,⿰广寺,aozora
g-986636fcb6e8,廴＋囘,⿰廴囘,aozora
g-fe36258be390,弓＋肖,⿰弓肖,aozora
g-f592734a3706,戸／乙,⿱戸乙,aozora
g-9fb4b6102b03,救／心,⿱救心,aozora
g-3b3a7881e935,敖／心,⿱敖心,aozora
g-463124d02da7,敝／犬,⿱敝犬,aozora
g-5a27f02cd7ce,敝／龜,⿱敝龜,aozora
g-04ca11f991a4,斬／手,⿱斬手,aozora
g-cc0dcfef2005,曷＋毛,⿰曷毛,aozora
g-ce56e10371c8,月＋亨,⿰月亨,aozora
g-aafd3065e0af,月＋因,⿰月因,aozora
g-0fc26ddc5849,月＋毛,⿰月毛,aozora
g-891b2b4ff599,月＋瞿,⿰月瞿,aozora
g-7a80c4c1fa20,月＋矣,⿰月矣,aozora
g-1e3ebef434ed,月＋祭,⿰月祭,aozora
g-0d8ace286abb,木＋冉,⿰木冉,aozora
g-eaa6613526a2,木＋号,⿰木号,aozora
g-4843c756a9c5,木＋呈,⿰木呈,aozora
g-0fe35364b58b,木＋忽,⿰木忽,aozora
